# nkptgw: 4  neig: 145 
# E(DFT) E(GW)
-6.862 -7.494
-6.722 -6.942
-6.627 -6.666
-6.624 -6.658
-6.610 -6.643
-6.348 -6.897
-6.050 -6.297
-5.956 -6.042
-5.935 -5.955
-5.921 -5.941
-5.909 -5.928
-5.900 -5.925
-5.887 -5.948
-5.873 -5.948
-5.562 -6.627
-4.916 -5.213
-4.735 -4.758
-4.708 -4.731
-4.675 -4.703
-4.641 -4.680
-4.517 -4.647
-4.512 -4.950
-4.485 -4.633
-4.479 -4.596
-4.439 -4.533
-4.435 -4.541
-4.432 -4.553
-4.413 -4.546
-3.974 -4.017
-3.967 -4.001
-3.895 -4.018
-3.807 -3.905
-3.786 -3.897
-3.766 -3.870
-3.751 -3.820
-3.716 -3.790
-3.583 -4.252
-3.552 -3.686
-3.435 -3.579
-3.055 -3.148
-3.040 -3.130
-2.788 -2.909
-2.701 -2.782
-2.690 -2.771
-2.686 -2.761
-2.618 -2.703
-2.565 -2.606
-2.557 -2.600
-2.533 -2.604
-2.523 -2.587
-2.504 -2.597
-2.414 -2.530
-2.284 -2.379
-2.267 -2.365
-2.241 -2.337
-2.195 -2.385
-2.151 -2.271
-2.096 -2.338
-2.041 -2.157
-2.014 -2.132
-1.944 -2.013
-1.924 -1.992
-1.910 -1.984
-1.909 -1.980
-1.638 -1.713
-1.626 -1.714
-1.611 -1.692
-1.511 -1.570
-1.420 -1.486
-1.413 -1.466
-1.396 -1.450
-1.359 -1.434
-1.312 -1.383
-1.268 -1.105
-1.044 -0.929
-0.665 -0.566
-0.508 -0.350
-0.440 -0.261
-0.431 -0.241
-0.267 -0.106
-0.229 -0.047
-0.190 -0.008
-0.070 0.129
-0.044 0.170
-0.015 0.201
-0.005 0.187
0.007 0.210
0.119 0.311
0.127 0.324
0.192 0.390
0.259 0.442
0.327 0.530
0.391 0.604
0.549 0.712
0.651 0.824
0.703 0.856
0.792 0.975
0.840 1.044
0.911 1.098
1.097 1.289
1.132 1.311
1.402 2.996
1.594 2.011
1.639 1.901
1.681 2.007
1.744 1.950
1.765 2.274
1.888 2.141
-20.567 -22.546
-20.157 -23.285
-17.834 -20.294
-15.729 -18.170
-14.985 -17.103
-12.649 -14.575
-12.133 -13.840
-10.447 -11.868
-10.401 -11.856
-10.289 -10.061
-10.258 -10.018
-10.226 -10.000
-10.197 -9.963
-9.724 -10.928
-9.369 -10.832
-9.288 -9.111
-9.273 -9.091
-9.259 -9.086
-9.236 -9.067
-8.040 -8.002
-8.007 -7.933
-7.981 -7.893
-7.975 -7.895
-7.963 -9.456
-7.885 -7.928
-7.747 -7.719
-7.735 -7.715
-7.709 -7.775
-7.668 -8.624
-7.450 -8.122
-7.396 -8.594
-7.289 -7.246
-7.272 -7.224
-7.237 -7.196
-7.204 -7.177
-7.041 -7.059
-7.028 -7.003
-7.016 -6.981
-7.015 -6.981
-6.857 -7.847
-6.434 -7.007
-6.309 -6.317
-6.295 -6.301
-6.287 -6.299
-6.223 -6.420
-5.847 -6.057
-5.592 -5.800
-5.587 -5.747
-5.576 -5.832
-5.553 -6.175
-5.533 -5.611
-5.527 -5.610
-5.507 -5.581
-5.497 -5.580
-5.066 -5.088
-5.064 -5.088
-5.049 -5.073
-5.034 -5.055
-4.850 -5.001
-4.804 -4.889
-4.799 -4.889
-4.793 -4.879
-4.592 -5.267
-4.142 -4.234
-4.125 -4.199
-4.117 -4.188
-4.094 -4.164
-3.796 -3.939
-3.625 -3.671
-3.617 -3.668
-3.600 -3.645
-3.596 -3.643
-3.584 -4.252
-3.475 -3.590
-3.405 -3.515
-3.391 -3.503
-3.288 -3.406
-3.098 -3.235
-3.090 -3.227
-3.065 -3.201
-2.877 -2.978
-2.865 -2.960
-2.858 -2.957
-2.851 -2.951
-2.793 -2.902
-2.763 -2.874
-2.730 -2.844
-2.717 -2.823
-2.491 -2.577
-2.478 -2.564
-2.470 -2.557
-2.458 -2.541
-2.202 -2.609
-1.691 -1.791
-1.485 -1.524
-1.481 -1.519
-1.426 -1.466
-1.402 -1.451
-1.299 -1.365
-1.156 -1.226
-1.144 -1.204
-1.113 -1.184
-1.100 -1.173
-1.078 -1.155
-1.064 -1.146
-0.937 -1.000
-0.867 -0.941
-0.712 -0.751
-0.603 -0.642
-0.585 -0.626
-0.572 -0.374
-0.531 -0.346
-0.518 -0.330
-0.491 -0.304
-0.482 -0.287
-0.464 -0.272
-0.452 -0.263
-0.436 -0.250
-0.345 -0.190
-0.302 -0.189
-0.278 -0.169
-0.210 -0.066
-0.129 0.054
-0.121 0.058
-0.107 0.072
0.193 0.406
0.251 0.480
0.283 0.515
0.292 0.514
0.373 0.564
0.464 0.699
0.479 0.711
0.491 0.723
0.516 0.736
0.825 1.049
0.973 1.216
0.983 1.227
1.014 1.249
1.037 1.276
1.069 1.293
1.098 1.322
1.113 1.337
1.309 1.808
1.354 1.867
1.479 2.656
