#
# ABINIT package : DOS file
#
# nsppol = 1, nkpt = 1012, nband(1)=   7
# Smearing technique, occopt = 3, tsmear= 0.001 Hartree, tphysel= 0.000 Hartree
# For identification : eigen(1:3)=  -0.632  -0.443  -0.442
#
# Fermi energy :      -0.26524251
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell),
# as well as the DOS with tsmear halved and doubled, are computed,
# at  1101 energies (in Hartree) covering the interval
# between   -0.7000 and    0.4000 Hartree by steps of 0.00100 Hartree.
#
#    #   energy        DOS       Integr. DOS        DOS           DOS
#                                               (tsmear/2)    (tsmear*2)
  111  -0.589      2.762645      0.075608         2.518         2.796
  112  -0.588      2.744240      0.078346         2.434         2.832
  113  -0.587      2.829740      0.081135         3.183         2.879
  114  -0.586      2.802395      0.083963         2.959         2.944
  115  -0.585      2.782294      0.086739         2.059         3.033
  116  -0.584      3.074324      0.089639         2.839         3.142
  117  -0.583      3.491510      0.092931         4.084         3.251
  118  -0.582      3.684543      0.096541         3.790         3.330
  119  -0.581      3.677434      0.100235         3.882         3.363
  120  -0.580      3.502721      0.103841         3.884         3.353
  121  -0.579      3.187200      0.107189         2.859         3.325
  122  -0.578      3.004365      0.110262         2.624         3.314
  123  -0.577      3.034757      0.113272         3.126         3.343
  124  -0.576      3.135517      0.116351         2.922         3.423
  125  -0.575      3.375070      0.119591         3.001         3.547
  126  -0.574      3.749383      0.123150         4.030         3.694
  127  -0.573      4.032734      0.127055         4.260         3.837
  128  -0.572      4.216333      0.131181         4.028         3.951
  129  -0.571      4.355797      0.135477         4.796         4.020
  130  -0.570      4.300337      0.139825         4.547         4.042
  131  -0.569      4.052871      0.144014         4.120         4.035
  132  -0.568      3.684255      0.147889         3.952         4.035
  133  -0.567      3.475347      0.151429         1.991         4.079
  134  -0.566      3.946537      0.155081         3.334         4.178
  135  -0.565      4.673633      0.159414         6.092         4.301
  136  -0.564      4.781516      0.164206         5.615         4.410
  137  -0.563      4.431222      0.168818         3.651         4.494
  138  -0.562      4.304773      0.173153         4.004         4.575
  139  -0.561      4.509826      0.177539         4.087         4.676
  140  -0.560      4.834779      0.182217         5.527         4.797
  141  -0.559      4.927636      0.187123         5.151         4.930
  142  -0.558      4.943453      0.192043         4.128         5.071
  143  -0.557      5.222344      0.197108         5.359         5.216
  144  -0.556      5.505592      0.202487         5.994         5.355
  145  -0.555      5.628379      0.208059         5.282         5.474
  146  -0.554      5.822417      0.213774         5.797         5.563
  147  -0.553      5.892647      0.219666         6.915         5.621
  148  -0.552      5.482800      0.225388         5.710         5.676
  149  -0.551      4.971626      0.230596         4.195         5.783
  150  -0.550      4.964986      0.235504         3.773         5.999
  151  -0.549      5.737831      0.240792         4.894         6.338
  152  -0.548      6.999924      0.247149         7.472         6.746
  153  -0.547      8.024204      0.254709         9.065         7.133
  154  -0.546      8.259654      0.262929         9.671         7.439
  155  -0.545      7.656491      0.270939         7.993         7.680
  156  -0.544      6.914287      0.278192         5.538         7.945
  157  -0.543      6.988207      0.285052         5.352         8.343
  158  -0.542      7.928305      0.292470         8.219         8.936
  159  -0.541      8.902135      0.300912         9.846         9.733
  160  -0.540      9.641497      0.310180         8.725        10.721
  161  -0.539     10.954428      0.320390         8.879        11.871
  162  -0.538     13.315583      0.332459        13.083        13.108
  163  -0.537     15.698852      0.347033        18.147        14.307
  164  -0.536     16.770774      0.363399        18.831        15.358
  165  -0.535     16.745646      0.380194        15.638        16.237
  166  -0.534     16.889193      0.396962        16.283        16.999
  167  -0.533     17.657377      0.414186        16.675        17.710
  168  -0.532     18.741744      0.432394        19.884        18.402
  169  -0.531     19.116554      0.451419        21.311        19.097
  170  -0.530     18.861872      0.470392        16.287        19.849
  171  -0.529     19.462965      0.489459        18.610        20.738
  172  -0.528     20.761698      0.509551        21.267        21.809
  173  -0.527     22.376036      0.531073        20.232        23.050
  174  -0.526     24.496936      0.554497        26.099        24.402
  175  -0.525     26.108845      0.579883        27.558        25.801
  176  -0.524     26.898720      0.606425        26.720        27.226
  177  -0.523     27.848636      0.633734        25.999        28.701
  178  -0.522     29.899565      0.662506        28.118        30.239
